operation,library,samples,median_ops_per_second,mean_ops_per_second,stdev_ops_per_second,coefficient_of_variation_pct,min_ops_per_second,max_ops_per_second,median_ns_per_operation,median_peak_rss_bytes,average_payload_bytes,binary_size_bytes
string-serialize,fory-json,7,2988899.21204,2990799.867013,8890.515819249704,0.2972621443951355,2978173.51799,3003620.522737,334.571335,64356352.0,343.398,32143216
string-serialize,jackson,7,1475625.879062,1474258.693084857,9359.595794575693,0.6348679399672337,1461392.17402,1485548.700724,677.678546,67158016.0,343.398,24309712
string-deserialize,fory-json,7,1177246.767438,1177339.2046034285,10375.74043373158,0.8812872614079401,1167199.085397,1195409.032982,849.43958,64454656.0,343.398,32143216
string-deserialize,jackson,7,792116.032394,793297.6597997143,7260.256235377776,0.9151995024428521,786082.613754,808054.889181,1262.441308,67371008.0,343.398,24309712
utf8-serialize,fory-json,7,4460370.054838,4464047.464635,40582.98273458232,0.9091073304235255,4389435.866907,4507293.009506,224.196645,64258048.0,343.398,32143216
utf8-serialize,jackson,7,1510552.566057,1510797.649462143,12278.01937008513,0.8126845692708227,1495876.48532,1531325.983856,662.009401,67108864.0,343.398,24309712
utf8-deserialize,fory-json,7,1973022.162632,1972650.1580287144,12962.711713025903,0.6571216726020821,1958948.359559,1990329.749793,506.836679,64389120.0,343.398,32143216
utf8-deserialize,jackson,7,940501.062082,940549.9893844286,5396.633006521262,0.5737741818543055,933424.99077,947287.705425,1063.26302,67354624.0,343.398,24309712
